kingdom	phylum	class	order	family	name	genus	species	author	taxonID	Assignment	FOSSIL	uniqueness_family	uniqueness_genus	size_m	size_f	size_avg	model_organism	harmful_to_human	human_use	domain	reproductive_habitat	trophic_role	common_name	colorful	color_blu	color_red	mimetism	photo_google	wikipedia	CITES	n_occurrences	range_size_MCP	range_size_AOO	elevation_min	elevation_max	elevation_range	Total_wos	Agriculture	Anatomy & Morphology	Behavioral Sciences	Biochemistry & Molecular Biology	Biodiversity & Conservation	Biotechnology & Applied Microbiology	Cell Biology	Entomology	Environmental Sciences & Ecology	Evolutionary Biology	forestry	Genetics & Heredity	Life Sciences Biomedicine Other Topics	Marine & Freshwater Biology	Microbiology	Mycology	Parasitology	Pharmacology & Pharmacy	Plant Sciences	Zoology	Chemistry	Geology	Oceanography	Physics	Engineering	Instruments & Instrumentation	Microscopy	total_wiki_pgviews	wiki_langs	wiki_mean_month_pgviews	mean_divergence_time_Mya	median_divergence_time_Mya
Animalia	Arthropoda	Ostracoda	Podocopida	Xestoleberididae	Xestoleberis africana	Xestoleberis	africana	Brady, 1880	4807027	I§igo Rubio/Alejandro Mart°nez	0	265	224	NA	NA	0,5	0	0	0	marine	marine coastal	primary consumer	0	0	0	0	0	0	1	0	4	12410	16				1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	56	2	0,466666666666667	796,56	736
Animalia	Arthropoda	Ostracoda	Podocopida	Candonidae	Candona chusanhai	Candona	chusanhai	(Sawin, 1963)		I§igo Rubio/Alejandro Mart°nez	Resampled	580	117	NA	NA	1,1	0	0	0	marine	marine coastal	primary consumer	0	0	0	0	0	0	1	0	6	5400	20	61	623	562	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25	2	0,208333333333333	796,56	736
Animalia	Arthropoda	Ostracoda	Podocopida	Cyprididae	Cyprinotus carolinensis	Cyprinotus	carolinensis	Ferguson, 1967	1029040	I§igo Rubio/Alejandro Mart°nez	0	536	22	NA	NA	1,5	0	0	0	freshwater	multiple	primary consumer	0	0	0	0	0	0	0	0	73	2052492	292	47	1267	1220	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	36	2	0,3	796,56	736
Animalia	Arthropoda	Ostracoda	Podocopida	Hemicytheridae	Caudites rosaliensis	Caudites	rosaliensis	Swain, 1967	6469481	I§igo Rubio/Alejandro Mart°nez	1	779	66	NA	NA	NA	0	0	0	marine	marine coastal	primary consumer	0	0	0	0	0	0	0	0	1	0	0	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32	2	0,266666666666667	796,56	736
Animalia	Arthropoda	Ostracoda	Podocopida	Cytheruridae	Cytheropteron inflatum	Cytheropteron	inflatum	Brady, Crosskey & Robertson, 1874	1029731	I§igo Rubio/Alejandro Mart°nez	0	1061	302	NA	NA	0,45	0	0	0	marine	marine coastal	primary consumer	0	0	0	0	0	0	0	0	32	3459737	116				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	53	4	0,220833333333333	796,56	736
Animalia	Arthropoda	Ostracoda	Podocopida	Hemicytheridae	Urocythereis arcana	Urocythereis	arcana	Dingle, 1993	8264523	I§igo Rubio/Alejandro Mart°nez	0	779	21	NA	NA	0,91	0	0	0	marine	marine coastal	primary consumer	0	0	0	0	0	1	1	0	6	77100	24				1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	796,56	736
Animalia	Arthropoda	Ostracoda	Podocopida	Hemicytheridae	Urocythereis britannica	Urocythereis	britannica	Athersuch, 1977		I§igo Rubio/Alejandro Mart°nez	Resampled	779	21	NA	NA	NA	0	0	0	marine	marine coastal	primary consumer	0	0	0	0	0	0	0	0	1	0	0	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	NA	796,56	736
Animalia	Arthropoda	Ostracoda	Podocopida	Limnocytheridae	Paralimnocythere ochridense	Paralimnocythere	ochridense	(Klie, 1934)	8981381	I§igo Rubio/Alejandro Mart°nez	0	113	13	NA	NA	NA	0	0	0	freshwater	lake	primary consumer	0	0	0	0	0	0	0	0	1	0	0	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	NA	796,56	736
Animalia	Arthropoda	Ostracoda	Podocopida	Cytheruridae	Cytheropteron obtusaeum	Cytheropteron	obtusaeum	Hornibrook, 1952		I§igo Rubio/Alejandro Mart°nez	Resampled	1061	302	NA	NA	3,5	0	0	0	marine	marine coastal	primary consumer	0	0	0	0	0	0	0	0	1	0	0	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	NA	796,56	736
Animalia	Arthropoda	Ostracoda	Podocopida	Cytherettidae	Cytheretta judaea	Cytheretta	judaea	(Brady, 1868)		I§igo Rubio/Alejandro Mart°nez	Resampled	85	64	NA	NA	1,2	0	0	0	marine	marine coastal	primary consumer	0	0	0	0	0	0	0	0	1	0	4				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	38	3	0,211111111111111	796,56	736
